descricao,endereco,valor,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,wlink
"Casa com  Quarto para Aluguel, 80m²",,R$ 2.300 /Mês,,80,1   Banheiro,1   Quarto,1   Vaga,https://vivareal.com.br/imovel/casa-1-quartos-joao-paulo-bairros-florianopolis-com-garagem-80m2-aluguel-RS2300-id-2603453631/
"Apartamento com 2 Quartos para Aluguel, 75m²",,R$ 5.250 /Mês,R$ 850,75,2   Banheiros,2   Quartos,1   Vaga,https://vivareal.com.br/imovel/apartamento-2-quartos-campeche-bairros-florianopolis-com-garagem-75m2-aluguel-RS5250-id-2599657657/
"Sala/Conjunto    para Aluguel, 45m²",,R$ 2.900 /Mês,,45,1   Banheiro,--   Quarto,1   Vaga,https://vivareal.com.br/imovel/sala-comercial-saco-grande-bairros-florianopolis-com-garagem-45m2-aluguel-RS2900-id-2606939101/
"Sala/Conjunto    para Aluguel, 87m²",,R$ 2.000 /Mês,,87,1   Banheiro,--   Quarto,1   Vaga,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-com-garagem-87m2-aluguel-RS2000-id-2570305781/
"Sala/Conjunto    para Aluguel, 142m²",,R$ 6.500 /Mês,,142,3   Banheiros,--   Quarto,--   Vaga,https://vivareal.com.br/imovel/sala-comercial-lagoa-da-conceicao-bairros-florianopolis-142m2-aluguel-RS6500-id-2575594042/
"Apartamento com 4 Quartos para Aluguel, 600m²",,R$ 16.800 /Mês,R$ 3.500,600,6   Banheiros,4   Quartos,3   Vagas,https://vivareal.com.br/imovel/cobertura-4-quartos-agronomica-bairros-florianopolis-com-garagem-600m2-aluguel-RS16800-id-2574898480/
"Sala/Conjunto    para Aluguel, 400m²",,R$ 9.000 /Mês,,400,3   Banheiros,--   Quarto,6   Vagas,https://vivareal.com.br/imovel/consultorio-corrego-grande-bairros-florianopolis-com-garagem-400m2-aluguel-RS9000-id-2581176231/
"Casa de condomínio com 5 Quartos para Aluguel, 365m²",,R$ 18.000 /Mês,,365,6   Banheiros,5   Quartos,4   Vagas,https://vivareal.com.br/imovel/casa-de-condominio-5-quartos-lagoa-da-conceicao-bairros-florianopolis-com-garagem-365m2-aluguel-RS18000-id-2604725996/
"Casa de condomínio com 3 Quartos para Aluguel, 350m²",,R$ 15.000 /Mês,R$ 980,350,4   Banheiros,3   Quartos,2   Vagas,https://vivareal.com.br/imovel/casa-de-condominio-3-quartos-rio-tavares-bairros-florianopolis-com-garagem-350m2-aluguel-RS15000-id-2595390337/
"Casa de condomínio com 4 Quartos para Aluguel, 574m²",,R$ 33.000 /Mês,R$ 980,574,5   Banheiros,4   Quartos,3   Vagas,https://vivareal.com.br/imovel/casa-de-condominio-4-quartos-rio-tavares-bairros-florianopolis-com-garagem-574m2-aluguel-RS33000-id-2606287528/
